"SAGDP10N Per capita real GDP by state"
"Per capita real GDP by state (Chained 2012 dollars) 1/" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"44000","Rhode Island",39166,40526,41499,43080,43436,44664,46086,48003,48989,50342,49264,47817,47657,48833,48664,48968,49364,49439
"45000","South Carolina",34953,35757,36865,37399,37172,37660,38585,38528,39009,39088,39398,38548,36352,36708,37275,37178,37560,37995
"46000","South Dakota",33560,35456,36648,38906,39245,43365,44070,45524,46303,46561,48075,49608,49230,49169,51966,52123,51767,51938
"47000","Tennessee",38341,40174,40864,40877,40468,41499,42379,43875,44175,44584,43518,43540,41709,41969,42955,43979,44168,44570
"48000","Texas",44212,46056,46973,47664,47932,48031,47583,49241,49732,51811,53470,52481,51264,51568,52397,54097,55573,56060
"49000","Utah",38062,39576,40513,41215,41111,41162,41374,42774,44409,47009,47925,46369,44353,44438,45149,45110,45516,46262
"50000","Vermont",33531,34471,36124,37765,38733,39736,40950,42851,43317,43559,42987,43959,43207,44914,45828,46141,45510,45569
"51000","Virginia",44167,45964,47448,48715,49806,49714,51054,52631,54782,55219,55090,54357,53695,54497,54516,54360,54108,53600
"53000","Washington",47861,50108,53116,52826,50964,51276,51805,52116,54874,55989,58531,58270,55903,56541,56853,58156,59047,60310
"54000","West Virginia",32563,33138,34314,34339,34425,34787,34674,35080,36006,36345,36271,36890,36566,36912,37530,37376,37844,37765
"55000","Wisconsin",39736,41009,42436,43373,43669,44259,45238,46428,47269,47775,47754,46912,45357,46541,47394,47963,48142,48893
"56000","Wyoming",51567,52651,54542,56055,59113,59749,60805,61932,64418,71798,75410,78075,73922,70509,69453,66690,66144,66193
"Legend / Footnotes:"
"1/ Per capita real GDP statistics for 2010-2018 reflect Census Bureau midyear population estimates available as of December 2018."
"Last updated: May 1, 2019-- new statistics for 2018; revised statistics for 2010-2017."
